formula,compound,isotopeLabel,Sample,IonCount,fraction.all
C6H14N2O2,lysine,O18-label-1,col009b2_T4,13788.37,0.479842159
C6H14N2O2,lysine,O18-label-2,col009b2_T4,9409.76,0.327464345
C5H11NO2S,methionine,C12 PARENT,col009b2_T4,5626.42,0.087072239
C5H11NO2S,methionine,O18-label-1,col009b2_T4,17704.63,0.273989815
C5H11NO2S,methionine,O18-label-2,col009b2_T4,41286.79,0.638937947
C9H11NO2,phenylalanine,C12 PARENT,col009b2_T4,263828.59,0.335614416
C9H11NO2,phenylalanine,O18-label-1,col009b2_T4,307182.72,0.390764887
C9H11NO2,phenylalanine,O18-label-2,col009b2_T4,215094.94,0.273620697
C5H9NO2,proline,C12 PARENT,col009b2_T4,167126.36,0.498104773
C5H9NO2,proline,O18-label-1,col009b2_T4,100521.45,0.299594954
C5H9NO2,proline,O18-label-2,col009b2_T4,67876.7,0.202300273
C3H7NO3,serine,C12 PARENT,col009b2_T4,3354.38,0.028233794
C3H7NO3,serine,O18-label-1,col009b2_T4,34433.72,0.289828392
C3H7NO3,serine,O18-label-2,col009b2_T4,68117.32,0.573343029
C3H7NO3,serine,O18-label-3,col009b2_T4,12901.85,0.108594785
C4H9NO3,threonine,C12 PARENT,col009b2_T4,18830.21,0.238117012
C4H9NO3,threonine,O18-label-1,col009b2_T4,45125.82,0.570637579
C4H9NO3,threonine,O18-label-2,col009b2_T4,15123.62,0.191245409
C11H12N2O2,tryptophan,C12 PARENT,col009b2_T4,67586.58,0.617978573
C11H12N2O2,tryptophan,O18-label-1,col009b2_T4,29986.33,0.274180309
C11H12N2O2,tryptophan,O18-label-2,col009b2_T4,11794.28,0.107841118
C9H11NO3,tyrosine,C12 PARENT,col009b2_T4,25465.79,0.408286852
C9H11NO3,tyrosine,O18-label-1,col009b2_T4,22228.38,0.35638224
C9H11NO3,tyrosine,O18-label-2,col009b2_T4,14678.13,0.235330908
C5H11NO2,valine,C12 PARENT,col009b2_T4,91706.74,0.290044959
C5H11NO2,valine,O18-label-1,col009b2_T4,166360.77,0.526156559
C5H11NO2,valine,O18-label-2,col009b2_T4,58113.61,0.183798482
C3H7NO2,alanine,C12 PARENT,col009b2_T5,306433.09,0.593830642
C3H7NO2,alanine,O18-label-1,col009b2_T5,91498.79,0.177313701
C3H7NO2,alanine,O18-label-2,col009b2_T5,118095.87,0.228855657
C6H14N4O2,arginine,C12 PARENT,col009b2_T5,9167.36,0.179682539
C6H14N4O2,arginine,O18-label-1,col009b2_T5,22347.13,0.438009312
C6H14N4O2,arginine,O18-label-2,col009b2_T5,19505.27,0.382308149
C4H8N2O3,asparagine,C12 PARENT,col009b2_T5,11733.52,0.159577525
C4H8N2O3,asparagine,O18-label-1,col009b2_T5,51862.41,0.705336083
C4H8N2O3,asparagine,O18-label-2,col009b2_T5,9932.72,0.135086391
C4H7NO4,aspartate,C12 PARENT,col009b2_T5,5289.06,0.018206619
C4H7NO4,aspartate,O18-label-1,col009b2_T5,21652.1,0.074533381
C4H7NO4,aspartate,O18-label-2,col009b2_T5,71482.14,0.24606415
C4H7NO4,aspartate,O18-label-3,col009b2_T5,96295.23,0.331478659
C4H7NO4,aspartate,O18-label-4,col009b2_T5,95783.52,0.329717191
C5H9NO4,glutamate,C12 PARENT,col009b2_T5,39649.27,0.028626083
C5H9NO4,glutamate,O18-label-1,col009b2_T5,184945.56,0.133527476
C5H9NO4,glutamate,O18-label-2,col009b2_T5,418773.91,0.302347477
C5H9NO4,glutamate,O18-label-3,col009b2_T5,411087.78,0.296798224
C5H9NO4,glutamate,O18-label-4,col009b2_T5,330618.41,0.238700739
C5H10N2O3,glutamine,C12 PARENT,col009b2_T5,205846.91,0.233124999
C5H10N2O3,glutamine,O18-label-1,col009b2_T5,348271.69,0.394423396
C5H10N2O3,glutamine,O18-label-2,col009b2_T5,252015.42,0.285411593
C5H10N2O3,glutamine,O18-label-3,col009b2_T5,76855.41,0.087040011
C2H5NO2,glycine,C12 PARENT,col009b2_T5,8634.83,0.217435032
C2H5NO2,glycine,O18-label-1,col009b2_T5,22300.23,0.56154565
C2H5NO2,glycine,O18-label-2,col009b2_T5,8777.17,0.221019318
C6H9N3O2,histidine,C12 PARENT,col009b2_T5,43353.38,0.313533382
C6H9N3O2,histidine,O18-label-1,col009b2_T5,71186.25,0.514821813
C6H9N3O2,histidine,O18-label-2,col009b2_T5,23733.94,0.171644805
C6H13NO2,isoleucine,C12 PARENT,col009b2_T5,100577.39,0.249829191
C6H13NO2,isoleucine,O18-label-1,col009b2_T5,214572.75,0.532987947
C6H13NO2,isoleucine,O18-label-2,col009b2_T5,87434.48,0.217182862
C6H14N2O2,lysine,C12 PARENT,col009b2_T5,3586.31,0.152671759
C6H14N2O2,lysine,O18-label-1,col009b2_T5,11833.59,0.503764315
C6H14N2O2,lysine,O18-label-2,col009b2_T5,8070.43,0.343563926
C5H11NO2S,methionine,C12 PARENT,col009b2_T5,5767.23,0.083045881
C5H11NO2S,methionine,O18-label-1,col009b2_T5,21208.49,0.305394052
C5H11NO2S,methionine,O18-label-2,col009b2_T5,42470.59,0.611560067
C9H11NO2,phenylalanine,C12 PARENT,col009b2_T5,241925.77,0.245146306
C9H11NO2,phenylalanine,O18-label-1,col009b2_T5,402232.25,0.407586799
C9H11NO2,phenylalanine,O18-label-2,col009b2_T5,342704.78,0.347266895
C5H9NO2,proline,C12 PARENT,col009b2_T5,98689.29,0.349100869
C5H9NO2,proline,O18-label-1,col009b2_T5,104199.94,0.368594095
C5H9NO2,proline,O18-label-2,col009b2_T5,79806.4,0.282305036
C3H7NO3,serine,C12 PARENT,col009b2_T5,5051.82,0.035638592
C3H7NO3,serine,O18-label-1,col009b2_T5,38963.05,0.27486891
C3H7NO3,serine,O18-label-2,col009b2_T5,74852.15,0.528052318
C3H7NO3,serine,O18-label-3,col009b2_T5,22884.37,0.161440181
C4H9NO3,threonine,C12 PARENT,col009b2_T5,10984.1,0.124971286
C4H9NO3,threonine,O18-label-1,col009b2_T5,54233.59,0.617041131
C4H9NO3,threonine,O18-label-2,col009b2_T5,22675.3,0.257987582
C11H12N2O2,tryptophan,C12 PARENT,col009b2_T5,71338.65,0.49772392
C11H12N2O2,tryptophan,O18-label-1,col009b2_T5,46815.69,0.326629236
C11H12N2O2,tryptophan,O18-label-2,col009b2_T5,25175.42,0.175646844
C9H11NO3,tyrosine,C12 PARENT,col009b2_T5,24333.92,0.391890257
C9H11NO3,tyrosine,O18-label-1,col009b2_T5,22152.7,0.356762384
C9H11NO3,tyrosine,O18-label-2,col009b2_T5,15607.09,0.251347359
C5H11NO2,valine,C12 PARENT,col009b2_T5,81250.46,0.230223659
C5H11NO2,valine,O18-label-1,col009b2_T5,191770.83,0.543383781
C5H11NO2,valine,O18-label-2,col009b2_T5,79898.39,0.22639256
C3H7NO2,alanine,C12 PARENT,col009b2_T6,226450.47,0.416057638
