"Protein_ID","XLA_Gene","Human_Gene","kD","HL_Hrs","Estimate","T9_kD","T10_kD","deltaBIC","T0_L","N2","N4","N6","N8","N10","N11","T0_H","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11","mClass","Number_Pep_Fits"
"XBmRNA62847|XBXL10_1g33308"," ddx6.S","DDX6",5.94008961105474e-05,146.95,"interval",8.2333687993272e-05,3.64681042278227e-05,1.97502049101966,1.04058253909613,0.984391261367347,0.957503691003045,0.911240354708331,1.01495326696399,1.06487382382168,1.02645506303948,1.1251603727106,1.0879975306454,1.07562053722291,1.09477388598631,0.9644359821308,1.02361624472597,0.964379035259636,0.908665277071652,0.949039854069101,0.957489821017826,0.889384446764442,0.959437012395358,"Flat",33
"XBmRNA34264|XBXL10_1g18615"," cdk10.L","CDK10",5.93816573288549e-05,146.95,"interval",8.20459416835634e-05,3.67173729741463e-05,-4.43951118113378,0.928466144749807,0.862199700851598,0.976342461496558,1.06820192185294,0.739352447901929,1.18301106440877,1.2424262587384,0.958286721571309,1.06207756368366,1.08415860172909,1.20306567874884,1.11180721502161,0.977083695649636,0.924805572883073,0.921085205446987,1.07264310873264,0.835370162852007,0.870325886785534,0.979290586895615,"Flat",3
"XBmRNA75105|XBXL10_1g39945"," zhx3.L","ZHX3",5.93647677652752e-05,146.95,"interval",6.4232033380864e-05,5.44975021496865e-05,-4.67741222418781,0.503687777573739,0.540651435121469,0.722001099115086,1.03559663582087,1.17070154862747,1.43962823148538,1.587733272256,1.03035646146183,1.02107717710592,1.17269229111704,1.02259555444089,0.941348652641239,1.08322360051927,1.03395313474064,0.908818195210631,1.1025012118499,1.05002349180615,0.870822416291333,0.762587812815173,"Flat",3
"XBmRNA61202|XBXL10_1g32444"," gnb3.S","GNB3",5.9333508288108e-05,146.95,"interval",6.25963071523423e-05,5.60707094238737e-05,8.26695784601114,0.745947677861271,0.721297713615896,0.776653921590634,0.930137705152232,1.02187328308538,1.30222710294406,1.50186259575053,1.07496742616331,0.980999618718303,1.09274734650256,1.11610989911176,1.02812572092059,1.02790329558249,1.02899154216865,0.962045323267066,0.954307083026967,0.93511769214915,0.898035073079316,0.900649979309834,"Deg",4
"XBmRNA24240|XBXL10_1g12843"," celf2.L","CELF2",5.9290377292156e-05,146.95,"interval",7.20385988372412e-05,4.65421557470708e-05,4.49429695602259,0.763504580115467,0.769621392420156,0.785689785328594,0.753820573566149,1.10786317671653,1.40362950070984,1.41587099114327,1.07801910087827,1.05463614016556,0.993316022236867,1.06855148053021,1.12112948977011,1.03530768706614,0.939387015456703,0.989510770049219,1.02468391732347,0.927954848000143,0.887130305914607,0.8803732226087,"Deg",3
"XBmRNA68421|XBXL10_1g36148"," fam98b.L","FAM98B",5.92444478786463e-05,146.95,"interval",0.000117488895757293,1e-06,-8.33129591986227,0.840481938666867,0.810494609900128,0.89488165386115,0.972974273813526,1.41844512757478,1.0665580856217,0.996164310561843,1.03317139183962,1.24400841840421,1.04857376341731,0.815662738378669,1.01166580306021,1.14097022655413,0.967883400630128,0.891396277156897,0.983040193363411,0.984127491186971,0.898946292276277,0.980554003732178,"Flat",2
"XBmRNA42954|XBXL10_1g23050"," riox1.L","RIOX1",5.92187558778193e-05,146.95,"point",NA,5.92187558778193e-05,-8.74207611838384,0.507391251456851,0.557437735502683,0.513846096783751,0.575661195952614,0.927338459786277,1.72178954564333,2.1965357148745,1.04411376668861,1.24854780669196,1.10384360267038,1.0827158017462,0.938076683640667,0.900011709493798,0.960459110418459,0.832537201218595,0.878717959836196,1.00651942090976,1.00950642667871,0.994950510006669,"Flat",3
"XBmRNA80441|XBXL10_1g42787"," dus1l.S","DUS1L",5.92117597918217e-05,146.95,"interval",5.15469708735309e-05,6.68765487101124e-05,-2.17897590212302,0.700755847117874,0.74959079287164,0.81964833098741,0.880468127473337,0.953436216887109,1.30423801110904,1.59186267355359,1.04388391669447,0.963526051492891,1.19056121789084,1.09028834279987,1.07619562227633,0.989611965961105,0.962896133251935,0.89883108564134,1.01906713761062,0.938819167984766,0.898947665723725,0.927371692672096,"Flat",4
"XBmRNA16160|XBXL10_1g8558"," LOC121400066","AAMDC",5.92103347385007e-05,146.95,"interval",9.49472072628723e-05,2.3473462214129e-05,-1.17979624946687,1.07681024412749,1.06614940857955,1.05080026172243,0.981003359823771,0.967826999139833,0.980322380521035,0.877087346085895,1.15469366559017,1.07274065315421,1.02831893780611,1.03583871990522,1.03832079528164,1.04890842967299,0.89946408579645,0.984911935093752,1.01155724492211,0.952973983582891,0.794455040786444,0.977816508408018,"Flat",3
"XBmRNA6112|XBXL10_1g3354"," ier3ip1.L","IER3IP1",5.90711998597749e-05,146.95,"point",5.90711998597749e-05,NA,-7.25898782624795,1.11834189056558,0.9287073623013,0.760691779111978,0.934666057567644,1.01076919524027,1.17211143504577,1.07471228016747,1.1795159265639,0.868767782622893,1.14093382449119,1.07868817881336,0.92550582248114,1.01726400855782,1.18076578074626,1.09911551455114,0.732313744575965,0.975198369649376,0.964579470764253,0.837351576182705,"Flat",1
