"Protein_ID","Gene_Symbol","kD","HL_Hrs","Estimate","T6_kD","T7_kD","deltaBIC","T0_L","N13","N14","N15","N16","T0_H","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11","O12","mClass"
"Q9XTL2","Stam",0.000728987756310058,15.8472524529189,"interval",0.00072265040624097,0.000735325106379147,21.5557225321257,0.966691414995112,1.02969544243046,1.00533277857148,0.994659329658335,1.00362103434462,1.16815033519933,1.18825471418521,1.2441870088788,1.26863283075761,1.21438136154181,1.22834006642186,1.19585008535669,0.997173670491636,0.805019224229612,0.782876368646361,0.697861266260844,0.631990930633141,0.577282137397098,"Deg"
"P08645","Rap1",0.00072870449330032,15.85341261862,"interval",0.000735009798961417,0.000722399187639223,11.9498387846329,0.845612309010673,0.913580769537231,1.0932138827895,1.14142134658935,1.00617169207325,1.25603669573832,1.03640368129622,1.13595543437307,1.25627887470965,1.28561169863944,1.19647429879168,1.18881476599518,0.957894606150844,0.795591023235644,0.792190573827721,0.777825858794488,0.702385764637415,0.618536723810335,"Deg"
"Q9VVS4","MED11",0.000728611275705789,15.8554408839498,"interval",0.000651976203935813,0.000805246347475765,1.69457678661932,1.23637028832018,0.91482501845144,0.984903499603114,1.0313848790547,0.832516314570572,1.38317254729595,1.24313039747002,1.26810622806937,1.14190182274269,1.16394453930323,1.27970127233955,1.24255893700392,0.768702404179183,0.611993650706971,0.684059499900209,0.63270734568821,0.735940186403825,0.844081168896867,"Flat"
"O18334","Rab6",0.000728443140026547,15.859100559189,"interval",0.00067890614700373,0.000777980133049364,8.47371958988819,0.860414218311551,0.656437362224417,0.787421754415034,1.22496419410933,1.47076247093967,1.33825182921631,1.22799526565409,1.36220229289555,1.30748107351377,1.33057654868331,1.21534653962445,1.14554436904152,0.801762575492,0.630705156746035,0.705379729880794,0.652542654985205,0.681043481626902,0.601168482640063,"Deg"
"Q9VNP8","Ssl1",0.000728373310956867,15.8606209694256,"interval",0.000755960755584717,0.000700785866329017,9.21575353793802,1.29033516039541,1.15139098539169,1.01000656084071,0.832771011683676,0.71549628168851,1.33056453070462,1.08196956678082,1.2945419816585,1.26985194032238,1.22720888926373,1.02442394991074,1.02169968168753,0.923880019103841,0.779580710889181,0.821841132284717,0.827094413233106,0.698199597423224,0.699143586737611,"Deg"
"Q9V3Z3","meso18E",0.000728352491861508,15.8610743265351,"point",NA,0.000728352491861508,3.26141995279733,0.558291217675219,0.671251345528349,0.925111965570447,1.72163316576286,1.12371230546312,0.841431237492482,1.20970270003795,1.55110556392717,1.11009205617026,1.00048923028587,1.44588433518356,1.23493031302947,1.29777191361653,0.986042291814136,0.757792120008085,0.637092356152971,0.528194223353426,0.399471658928095,"Deg"
"A1ZAB1","lbk",0.00072779526567581,15.8732181345054,"interval",0.000522650802355114,0.000932939728996506,6.43679236418011,0.515395204180696,0.620706014701826,1.20521014335843,1.422616716594,1.23607192116504,1.0441838485639,1.30526239436368,1.40797650252729,1.16628531162215,1.11137088576149,1.04149017159235,0.981498596471496,0.95779447657462,0.883216777703898,0.935120953410154,0.806558388702587,0.73699060219561,0.622251090510784,"Deg"
"P17917","PCNA",0.00072778129314371,15.8735228813462,"interval",0.000716785515656883,0.000738777070630538,13.3197117242126,1.28026598656129,1.17004972698361,1.13932663391256,0.816562311059489,0.59379534148305,1.3194860568046,1.02778878203908,1.13039929702608,1.27786082518177,1.26425872083463,1.15637604061444,1.16657740454352,1.01681786239166,0.825519330156742,0.780741119136067,0.709545836390352,0.700791771587327,0.623836953293725,"Deg"
"A1Z9L3","pea",0.000727690198856504,15.8755099731809,"interval",0.000743683848778595,0.000711696548934413,27.8934234984582,0.908444229144252,1.06862364142173,1.2644540292217,0.984506365591882,0.773971734620431,1.11679636786016,1.07230849121076,1.19179985936796,1.24900246345484,1.25051185727465,1.18729937098231,1.190855348967,1.07560326294448,0.908786209285362,0.847452538196849,0.738157397835433,0.637284670043916,0.534142162576291,"Deg"
"Q7JZE1","Pex11ab",0.000727539397686971,15.8788005791309,"interval",0.000747200559248196,0.000707878236125747,23.7306540612189,0.959226666183573,0.925508643515562,0.940520477518352,0.958121086089496,1.21662312669302,1.25006670879093,1.24261694111175,1.24103307849387,1.30272955382273,1.21931373528274,1.14570170265859,1.06212886208683,0.940559066036656,0.827290025372822,0.782592890785876,0.726941677050738,0.662095728315176,0.596930030191292,"Deg"
"B7Z126","Tlk",0.000727361161962867,15.8826915890818,"interval",0.000781682297707609,0.000673040026218126,20.1658866739082,0.774315551296026,1.1024657082036,1.32863402912162,0.972358489138006,0.822226222240744,1.01157531781259,0.977953287822239,1.21362551572424,1.27465379297077,1.2795153918588,1.15501510882027,1.19704017401058,1.1250266704951,0.956539854429874,0.852113170745583,0.757878784935164,0.648357081302158,0.550705849072621,"Deg"
"Q9W0D6","CG7879",0.000727300521683501,15.8840158433981,"interval",0.000811841928861554,0.000642759114505448,21.255314374978,0.583574403007516,0.688456739057566,1.1277169720821,1.32601580926413,1.27423607658869,1.05116996833373,1.23852143423402,1.21823222176674,1.19992469024202,1.23187369437493,1.20806863906143,1.15260807438317,1.00734095627889,0.861580156300798,0.852746056115246,0.750308683179971,0.667158306388775,0.560467119340295,"Deg"
"Q0E8P0","phr6-4",0.000727159567266589,15.8870948404879,"interval",0.000768402283514683,0.000685916851018496,24.319961063594,0.968134160967942,1.05772859433499,1.05884317274279,1.08559023164141,0.829703840312875,1.22990961220061,1.2620292830246,1.33023923982804,1.16804769210855,1.16935812840987,1.04921917919263,1.00859851466752,1.04506338603033,0.894953928409485,0.863280609696938,0.714021063150202,0.664345072146901,0.600934291134327,"Deg"
"Q0KHR4","mei-218",0.00072715334677395,15.887230747937,"point",0.00072715334677395,NA,11.7694201958954,0.959474726016929,1.07759195894086,1.16587470662263,0.949045172456077,0.8480134359635,1.18816908397054,1.24322601136477,1.15432019225096,1.19360722470948,1.28494261969575,1.08576022349292,0.843233075291995,1.17879525115758,0.934187989243359,0.964644887510095,0.838543398221847,0.538972875479886,0.551597167610813,"Deg"
"Q95RI2","CG10973",0.000726955228802063,15.8915605138015,"interval",0.000752892733752277,0.000701017723851848,19.488708436064,1.14092992720441,1.06978171409534,1.02654067445787,0.927582076004753,0.835165608237616,1.25343284899961,1.20087248448699,1.24514769058452,1.31746977775891,1.24996238195165,1.21589542631997,1.16313233482266,0.916609139235718,0.802661108894692,0.750768131897275,0.697817882869219,0.635709269872132,0.550521522306648,"Deg"
"Q07327","Rop",0.00072679144384943,15.8951417316434,"interval",0.000729935905459376,0.000723646982239484,32.2859395981523,0.765658828730223,0.800258683635892,0.907053554175542,1.03636336889696,1.49066556456138,1.19570342817267,1.16320910565664,1.23811665453802,1.23517055918049,1.23328922720673,1.13339808874005,1.15119301831442,1.02521092311331,0.88406820101795,0.794027857531364,0.741299951041009,0.638063381464633,0.567249604022717,"Deg"
"Q0KHU5","LPCAT",0.000726284583994594,15.9062346412387,"interval",0.000650255106349636,0.000802314061639551,10.7861752905842,0.94566801537279,0.872371778695136,0.889101189404016,1.13445748073141,1.15840153579665,1.23024557312469,1.32222508039576,1.35588432113889,1.25659222706586,1.28420573605215,1.1907424918741,1.14803344380077,0.758643023367114,0.702288560291478,0.880047441029917,0.691114421358933,0.599708947125708,0.58026873337463,"Deg"
"Q9VCR0","CG17109",0.000726158614250105,15.9089939616877,"point",NA,0.000726158614250105,2.89974346417556,0.275933830611058,0.744568791385485,0.572584665448343,0.870875997228095,2.53603671532702,1.02402426802887,1.44812591888302,1.33976296653479,1.24956845506035,0.901979979107715,1.17565348030319,1.33903574648578,0.917575854976332,0.896657584404704,0.663062851249321,0.792862690980797,0.506611276627798,0.745078927357322,"Deg"
"Q9W088","PolD2",0.000726059564221259,15.911164288185,"interval",0.000773406285134233,0.000678712843308284,25.1785628921749,1.37330319406865,1.14753570535701,1.07358875256997,0.847602970114188,0.557969377890183,1.33828147675286,1.19940668419504,1.20749572320232,1.2145096994069,1.22090193341952,1.19197194414672,1.16886937328944,0.949292329801328,0.87520998102278,0.796175441514915,0.717671666242602,0.618344023387292,0.501869723618277,"Deg"
